param:,tech:,inv,var,fix,f,capa,eff,em,yr,:=
,254,65898,719.013878,206.226841,20058.62,,,,,
,255,66627,616.289946,196.914579,20057.25,,,,,
,256,66214,396.350838,202.56152,20005.45,,,,,
,257,66637,123.826697,200.960624,19996.73,,,,,
,258,67479,7.725941,184.812737,19987.59,,,,,
,259,67256,0.058573,194.424248,19987.77,,,,,
,260,64999,0.054943,205.037282,20062.08,,,,,
,261,62512,0.024893,216.808975,20100.35,,,,,
,262,60916,0.0003,232.94984,20112.72,,,,,
,263,62199,0.012758,221.467277,20120.33,,,,,
,264,63357,0.0404,209.59776,20119.21,,,,,
,265,60023,0.00008,213.656626,20118.63,,,,,
,266,57988,0.00024,236.462418,20117.58,,,,,
,267,56829,0.0002,240.362798,20117.18,,,,,
,268,56257,0.00032,259.40875,20114.95,,,,,
,269,56206,0.00032,263.584477,20113.94,,,,,
,270,56872,0.00022,267.339528,20114.24,,,,,
,271,58135,0.044189,276.343818,20113.7,,,,,
,272,59959,1.684724,275.021446,20113.8,,,,,
,273,64384,98.850547,266.012188,20111.74,,,,,
,274,67481,398.858799,258.500349,20112.45,,,,,
,275,68758,680.587083,253.84837,20123.03,,,,,
,276,68608,828.585954,280.272512,20124.77,,,,,
,277,63924,853.470729,270.747752,20061.22,,,,,
,278,66117,783.133509,257.45987,19957.63,,,,,
,279,66764,643.749094,231.593449,19929.61,,,,,
,280,66238,401.94449,229.975446,19980.58,,,,,
,281,66897,133.873335,274.848229,20021.57,,,,,
,282,67949,6.556142,314.727261,20017.12,,,,,
,283,68027,0.052028,378.514244,20023.91,,,,,
,284,65972,0.064102,425.153226,20017.51,,,,,
,285,63528,0,448.756814,20039.21,,,,,
,286,61858,0.00016,436.374649,20105.77,,,,,
,287,63197,0.00044,431.407915,20120.38,,,,,
,288,64630,0.0003,460.250343,20118.01,,,,,
,289,61399,0.00022,488.056138,20116.19,,,,,
,290,59224,0,494.676442,20116.15,,,,,
,291,58346,0.00024,485.701586,20114.82,,,,,
,292,57782,0.00022,500.940139,20115.98,,,,,
,293,57556,0.00032,497.943958,20115.85,,,,,
,294,58158,0.00024,483.708142,20116.21,,,,,
,295,59637,0.04168,499.292869,20115.57,,,,,
